source,target,value,color
Travis Plunkett,Citigroup,0.100000,NotPositive
Consumer Federation of America,Bank of America,0.100000,NotPositive
Fed,Consumer Financial Protection,0.100000,NotNegative
Citigroup,Consumer Financial Protection,0.100000,NotPositive
Consumer Federation of America,Citigroup,0.100000,NotPositive
Travis Plunkett,JPMorgan Chase & Co.,0.100000,NotPositive
Republicans,Consumer Financial Protection,0.100000,NotPositive
Consumer Federation of America,JPMorgan Chase & Co.,0.100000,NotPositive
Consumer Federation of America,Consumer Financial Protection,0.100000,NotNegative
Republicans,Travis Plunkett,0.100000,NotPositive
Travis Plunkett,Consumer Financial Protection,0.100000,NotNegative
JPMorgan Chase & Co.,Consumer Federation of America,0.100000,NotPositive
JPMorgan Chase & Co.,Travis Plunkett,0.100000,NotPositive
Consumer Financial Protection,Fed,0.100000,NotNegative
Travis Plunkett,Bank of America,0.100000,NotPositive
Consumer Financial Protection,Republicans,0.100000,NotPositive
Travis Plunkett,Consumer Federation of America,0.100000,Positive
Consumer Federation of America,Republicans,0.100000,NotPositive
JPMorgan Chase & Co.,Consumer Financial Protection,0.100000,NotPositive
Consumer Financial Protection,Citigroup,0.100000,NotPositive
Republicans,Consumer Federation of America,0.100000,NotPositive
Consumer Federation of America,Travis Plunkett,0.100000,NotNegative
Consumer Financial Protection,JPMorgan Chase & Co.,0.100000,NotPositive
Obama,Consumer Financial Protection,0.100000,NotNegative
Bank of America,Consumer Financial Protection,0.100000,NotPositive
Travis Plunkett,Republicans,0.100000,NotPositive
Consumer Financial Protection,Bank of America,0.100000,NotPositive
