source,target,value,color
Iranian,Muslims,0.100000,NotNegative
Iranian,India,0.100000,NotPositive
Ayatollah Ali Khamenei,External Affairs Ministry,0.100000,NotPositive
External Affairs Ministry,Iranian,0.100000,NotPositive
India,Y.K. Sinha,0.100000,NotNegative
External Affairs Ministry,Ayatollah Ali Khamenei,0.100000,Negative
Ayatollah Ali Khamenei,Iranian,0.100000,Positive
External Affairs Ministry,India,0.100000,NotNegative
India,Ayatollah Ali Khamenei,0.100000,Negative
Iranian,Ayatollah Ali Khamenei,0.100000,NotNegative
Iranian,External Affairs Ministry,0.100000,NotPositive
Iranian,Y.K. Sinha,0.100000,NotPositive
India,Iranian,0.100000,NotPositive
Y.K. Sinha,External Affairs Ministry,0.100000,Positive
India,External Affairs Ministry,0.100000,NotNegative
Y.K. Sinha,Ayatollah Ali Khamenei,0.100000,Negative
External Affairs Ministry,Y.K. Sinha,0.100000,NotNegative
Y.K. Sinha,Iranian,0.100000,NotPositive
Ayatollah Ali Khamenei,Y.K. Sinha,0.100000,NotPositive
Ayatollah Ali Khamenei,India,0.100000,NotPositive
Ayatollah Ali Khamenei,Muslims,0.100000,NotNegative
Y.K. Sinha,India,0.100000,Positive
