source,target,value,color
Russia,Georgia,0.1,Negative
Russia,Georgia,0.1,Negative
Russia,_,0.1,Negative
Russia,Saakhashvili,0.1,Negative
Georgia,Russia,0.1,NotPositive
Georgia,.,0.1,NotPositive
Georgia,_,0.1,Positive
_,Russia,0.1,NotPositive
_,Georgia,0.1,Positive
_,.,0.1,NotPositive
_,Saakhashvili,0.1,Positive
.,Georgia,0.1,NotPositive
.,_,0.1,Negative
.,Saakhashvili,0.1,NotPositive
Saakhashvili,Russia,0.1,NotPositive
Saakhashvili,Georgia,0.1,Belong
Saakhashvili,_,0.1,Positive
Saakhashvili,.,0.1,NotPositive
.,Russia,0.1,Belong
Moscow,Russia,0.1,Belong
Moscow,.,0.1,NotNegative
.,Moscow,0.1,NotNegative
Moscow,Georgia,0.1,Negative
Moscow,Saakhashvili,0.1,NotPositive
Moscow,_,0.1,NotPositive
