source,target,value,color
Russia,Georgia,0.1,Negative
Georgia,Gryzlov,0.1,NotPositive
Georgia,Russia,0.1,NotPositive
Moscow,Georgia,0.1,Negative
Georgia,Moscow,0.1,NotPositive
Saakhashvili,Moscow,0.1,NotPositive
Moscow,Saakhashvili,0.1,Negative
Gryzlov,Georgia,0.1,Negative
Georgia,Belarus,0.1,Positive
Belarus,Georgia,0.1,Positive
Saakhashvili,Georgia,0.1,Belong
Saakhashvili,Belarus,0.1,Positive
Belarus,Saakhashvili,0.1,Positive
Saakhashvili,Georgia,0.1,Positive
Saakhashvili,Gryzlov,0.1,NotPositive
Saakhashvili,Russia,0.1,NotPositive
Gryzlov,Saakhashvili,0.1,Negative
a,b,0.1,Negative
Russia,Saakhashvili,0.1,Negative
