source,target,value,color
Harry,Sally,1.2,l1
Harry,Mario,1.3,l1
Sarah,Alice,0.2,l3
Eveie,Alice,0.5,l4
Peter,Alice,1.6,l1
Mario,Alice,0.4,l1
James,Alice,0.6,l2
Harry,Carol,0.7,l3
Harry,Nicky,0.8,l2
Bobby,Frank,0.8,l3
Alice,Mario,0.7,l4
Harry,Lynne,0.5,l2
Sarah,James,1.9,l1
Roger,James,1.1,l3
Maddy,James,0.3,l2
Sonny,Roger,0.5,l4
James,Roger,1.5,l1
Alice,Peter,1.1,l2
Johan,Peter,1.6,l3
Alice,Eveie,0.5,l1
Harry,Eveie,0.1,l1
Eveie,Harry,2.0,l1
Henry,Mikey,0.4,l3
Elric,Mikey,0.6,l2
James,Sarah,1.5,l3
Alice,Sarah,0.6,l2
James,Maddy,0.5,l3
Peter,Johan,0.7,l2
