source,target,value,color
FarmVille,Facebook,0.100000,Positive
Luke Rajlich,FarmVille,0.100000,Positive
Facebook,Zynga,0.100000,NotNegative
FarmVille,Luke Rajlich,0.100000,NotNegative
FarmVille,Zynga,0.100000,NotNegative
Zynga,FarmVille,0.100000,Positive
Mark Pincus,FarmVille,0.100000,NotNegative
Facebook,FarmVille,0.100000,NotNegative
Zynga,Luke Rajlich,0.100000,NotNegative
Luke Rajlich,Zynga,0.100000,Positive
Zynga,Facebook,0.100000,NotNegative
FarmVille,Mark Pincus,0.100000,NotNegative
Zynga,Internet,0.100000,Positive
Zynga,Mark Pincus,0.100000,NotNegative
