source,target,value,color
US State Department,Democratic People 's Republic of Korea,0.100000,NotPositive
US Administration,Democratic People 's Republic of Korea,0.100000,NotPositive
Democratic People 's Republic of Korea,US State Department,0.100000,NotPositive
US State Department,Iraq,0.100000,NotPositive
Information Office of the Chinese People 's Congress,United States,0.100000,NotPositive
United States,Europe,0.100000,NotPositive
United States,Latin America,0.100000,NotPositive
United States,Africa,0.100000,NotPositive
United States,Iraq,0.100000,Negative
Latin America,US State Department,0.100000,Negative
US State Department,Africa,0.100000,NotPositive
Africa,US Administration,0.100000,Negative
US State Department,Europe,0.100000,NotPositive
US Administration,Iraq,0.100000,NotPositive
Iraq,US Administration,0.100000,NotPositive
US Administration,Latin America,0.100000,NotPositive
Europe,US State Department,0.100000,Negative
Democratic People 's Republic of Korea,US Administration,0.100000,NotPositive
Europe,US Administration,0.100000,Negative
Latin America,US Administration,0.100000,Negative
US State Department,Asia,0.100000,NotPositive
Africa,US State Department,0.100000,Negative
Christian Science Monitor,US Administration,0.100000,NotPositive
Christian Science Monitor,United States,0.100000,Negative
US Administration,Africa,0.100000,NotPositive
Iraq,US State Department,0.100000,NotPositive
United States,Democratic People 's Republic of Korea,0.100000,Negative
Latin America,United States,0.100000,Negative
Europe,United States,0.100000,Negative
Asia,US Administration,0.100000,Negative
Democratic People 's Republic of Korea,United States,0.100000,NotPositive
Iraq,United States,0.100000,NotPositive
United States,US Administration,0.100000,NotNegative
Christian Science Monitor,US State Department,0.100000,NotPositive
US Administration,Europe,0.100000,NotPositive
Africa,United States,0.100000,Negative
US Administration,Asia,0.100000,NotPositive
United States,Asia,0.100000,NotPositive
Asia,United States,0.100000,Negative
Asia,US State Department,0.100000,Negative
US State Department,Latin America,0.100000,NotPositive
United States,US State Department,0.100000,NotNegative
