source,target,value,color
Iranians,Ahmadinejad,0.100000,NotNegative
Ahmadinejad,Grand Mosque,0.100000,NotNegative
Islamic,Iranians,0.100000,NotNegative
Ahmadinejad,Saeed Majidi,0.100000,Positive
Saeed Majidi,Grand Mosque,0.100000,NotNegative
Ahmadinejad,Tehran,0.100000,NotNegative
Ahmadinejad,Iranians,0.100000,Positive
Saeed Majidi,Mir Hossein Mousavi,0.100000,Negative
Saeed Majidi,Ahmadinejad,0.100000,Positive
Saeed Majidi,Iranians,0.100000,Positive
Mir Hossein Mousavi,Ahmadinejad,0.100000,Negative
Iranians,Mir Hossein Mousavi,0.100000,NotNegative
Tehran,Grand Mosque,0.100000,NotNegative
Ahmadinejad,Mir Hossein Mousavi,0.100000,Negative
