source,target,value,color
Giannoulias,Democratic,0.100000,NotNegative
Barack Obama,Democratic,0.100000,NotNegative
Giannoulias,Kirk,0.100000,Negative
Kirk,Giannoulias,0.100000,Negative
Republican,Barack Obama,0.100000,NotPositive
Democratic,Republican,0.100000,NotPositive
Democratic,Giannoulias,0.100000,NotNegative
Kirk,Democratic,0.100000,NotPositive
Republican,Giannoulias,0.100000,NotPositive
Kirk,Republican,0.100000,NotNegative
Republican,Democratic,0.100000,Negative
Giannoulias,Senate,0.100000,Positive
Republican,Kirk,0.100000,NotNegative
Kirk,Senate,0.100000,Positive
Giannoulias,Republican,0.100000,NotPositive
Democratic,Barack Obama,0.100000,NotNegative
