source,target,value,color
US,US State Department,0.100000,NotNegative
Pakistan,Foreign Office,0.100000,NotNegative
Foreign Office,Pakistan,0.100000,NotNegative
Pakistan,Convention,0.100000,NotNegative
US State Department,Foreign Office,0.100000,NotPositive
Foreign Office,Juvenile Justice System Ordinance,0.100000,NotNegative
US,Foreign Office,0.100000,NotPositive
Foreign Office,Convention,0.100000,NotNegative
Foreign Office,US,0.100000,NotPositive
US State Department,Pakistan,0.100000,Negative
Pakistan,Juvenile Justice System Ordinance,0.100000,Positive
Foreign Office,US State Department,0.100000,NotPositive
Pakistan,US,0.100000,NotPositive
US,Pakistan,0.100000,Negative
Pakistan,US State Department,0.100000,Negative
US State Department,US,0.100000,NotNegative
