source,target,value,color
Jose Manuel Zelaya,Honduras,0.100000,NotPositive
Brazilian,Celso Amorim,0.100000,NotNegative
Brazilian,Luiz Inacio Lula da Silva,0.100000,NotNegative
Luiz Inacio Lula da Silva,Brazilian,0.100000,Positive
Jose Manuel Zelaya,Brazilian,0.100000,NotNegative
Brazilian,Jose Manuel Zelaya,0.100000,NotNegative
Honduras,Jose Manuel Zelaya,0.100000,NotPositive
Foreign Ministry,Brazilian,0.100000,NotNegative
Celso Amorim,Luiz Inacio Lula da Silva,0.100000,NotNegative
Luiz Inacio Lula da Silva,Celso Amorim,0.100000,NotNegative
Celso Amorim,Brazilian,0.100000,Positive
