source,target,value,color
Cook,Taliban,0.100000,Negative
Afghan,Kandahar,0.100000,NotNegative
SAS,Northern Alliance,0.100000,NotNegative
Afghan,Usama Bin Ladin,0.100000,NotPositive
Afghanistan,Kandahar,0.100000,NotNegative
Usama Bin Ladin,British,0.100000,NotPositive
Taliban,Cook,0.100000,NotPositive
American,British,0.100000,NotNegative
Northern Alliance,SAS,0.100000,NotNegative
Northern Alliance,American,0.100000,NotNegative
American,SAS,0.100000,NotNegative
SAS,British,0.100000,NotNegative
Cook,SAS,0.100000,Positive
Northern Alliance,Usama Bin Ladin,0.100000,Negative
Taliban,American,0.100000,NotPositive
SAS,Taliban,0.100000,Negative
Usama Bin Ladin,SAS,0.100000,NotPositive
Taliban,British,0.100000,NotPositive
Afghan,Kunduz,0.100000,NotNegative
Afghanistan,Afghan,0.100000,NotNegative
Northern Alliance,Kandahar,0.100000,NotNegative
SAS,Usama Bin Ladin,0.100000,Negative
Northern Alliance,Taliban,0.100000,Negative
Afghan,Taliban,0.100000,NotPositive
Taliban,SAS,0.100000,NotPositive
American,Cook,0.100000,NotNegative
British,Cook,0.100000,NotNegative
Northern Alliance,Cook,0.100000,NotNegative
British,Usama Bin Ladin,0.100000,Negative
British,Taliban,0.100000,Negative
Afghanistan,Taliban,0.100000,NotPositive
Northern Alliance,Kunduz,0.100000,NotNegative
Usama Bin Ladin,American,0.100000,NotPositive
Cook,American,0.100000,NotNegative
Taliban,Usama Bin Ladin,0.100000,NotNegative
Cook,British,0.100000,Positive
SAS,American,0.100000,NotNegative
Usama Bin Ladin,Taliban,0.100000,NotNegative
British,American,0.100000,NotNegative
British,Northern Alliance,0.100000,NotNegative
Taliban,Northern Alliance,0.100000,NotPositive
Northern Alliance,British,0.100000,NotNegative
British,SAS,0.100000,NotNegative
SAS,Cook,0.100000,NotNegative
Afghanistan,Usama Bin Ladin,0.100000,NotPositive
American,Northern Alliance,0.100000,NotNegative
American,Usama Bin Ladin,0.100000,Negative
Cook,Usama Bin Ladin,0.100000,Negative
Usama Bin Ladin,Northern Alliance,0.100000,NotPositive
American,Taliban,0.100000,Negative
Afghanistan,Kunduz,0.100000,NotNegative
Afghan,Afghanistan,0.100000,NotNegative
