source,target,value,color
Viviane Reding,France,0.100000,Negative
France,EU Justice,0.100000,Negative
Gypsies,EU Commission,0.100000,Positive
France,EU Commission,0.100000,Negative
EU Justice,EU Commission,0.100000,Positive
European Commission,Viviane Reding,0.100000,Positive
European Commission,Gypsies,0.100000,NotNegative
Gypsies,European Union,0.100000,Positive
European Commission,EU Justice,0.100000,NotNegative
EU Commission,France,0.100000,Negative
Viviane Reding,Gypsies,0.100000,NotNegative
France,Gypsies,0.100000,Negative
European Union,Gypsies,0.100000,NotNegative
Viviane Reding,European Commission,0.100000,Positive
Gypsies,EU Justice,0.100000,Positive
France,Viviane Reding,0.100000,Negative
Gypsies,European Commission,0.100000,Positive
Viviane Reding,EU Commission,0.100000,Positive
Gypsies,France,0.100000,Negative
EU Justice,France,0.100000,NotPositive
EU Commission,Gypsies,0.100000,NotNegative
France,European Commission,0.100000,Negative
EU Commission,Viviane Reding,0.100000,Positive
Gypsies,Viviane Reding,0.100000,Positive
Viviane Reding,European Union,0.100000,Positive
European Union,France,0.100000,Negative
France,European Union,0.100000,Negative
European Commission,France,0.100000,Negative
EU Commission,EU Justice,0.100000,Positive
Romania,Gypsies,0.100000,NotNegative
