source,target,value,color
Hutaree,U.S.,0.100000,NotPositive
Hutaree,Lee Miracle,0.100000,NotPositive
Mike Lackomar,Hutaree,0.100000,Negative
U.S.,David Stone Sr. of Clayton,0.100000,NotPositive
Hutaree,Southern Michigan Volunteer Militia,0.100000,NotPositive
Southern Michigan Volunteer Militia,David Stone Sr. of Clayton,0.100000,NotPositive
Southern Michigan Volunteer Militia,Hutaree,0.100000,Negative
U.S.,Hutaree,0.100000,NotPositive
Hutaree,Jesus,0.100000,NotNegative
Lee Miracle,Hutaree,0.100000,Negative
David Stone Sr. of Clayton,Hutaree,0.100000,Positive
Lee Miracle,Southeast Michigan Militia,0.100000,NotNegative
David Stone Sr. of Clayton,Jesus,0.100000,NotNegative
Mike Lackomar,Southern Michigan Volunteer Militia,0.100000,Positive
Mike Lackomar,David Stone Sr. of Clayton,0.100000,Negative
Southeast Michigan Militia,Hutaree,0.100000,Negative
Lee Miracle,David Stone Sr. of Clayton,0.100000,NotPositive
David Stone Sr. of Clayton,Lee Miracle,0.100000,NotPositive
Hutaree,Southeast Michigan Militia,0.100000,NotPositive
Hutaree,Mike Lackomar,0.100000,NotPositive
Southeast Michigan Militia,David Stone Sr. of Clayton,0.100000,NotPositive
Hutaree,David Stone Sr. of Clayton,0.100000,NotNegative
