source,target,value,color
Dove World Outreach Center,Islamic,0.100000,Negative
Koran,Dove World Outreach Center,0.100000,Negative
US,Islamic,0.100000,NotNegative
Haq,Koran,0.100000,NotNegative
Dove World Outreach Center,Koran,0.100000,Negative
Haq,Islamic,0.100000,NotNegative
United Nations,Koran,0.100000,NotNegative
United Nations,Islamic,0.100000,NotNegative
US,Dove World Outreach Center,0.100000,Negative
Haq,Dove World Outreach Center,0.100000,Negative
US,Koran,0.100000,NotNegative
Islamic,Haq,0.100000,NotNegative
United Nations,Haq,0.100000,NotNegative
Islamic,United Nations,0.100000,NotNegative
Islamic,Dove World Outreach Center,0.100000,NotPositive
United Nations,Dove World Outreach Center,0.100000,Negative
Haq,United Nations,0.100000,Positive
US,United Nations,0.100000,NotNegative
